idna_subject,checker_type,destination,tested_at
206.238.37.119,AVAILABILITY,origin.list,2023-06-09 06:38:14.840635
206.238.37.121,AVAILABILITY,origin.list,2023-06-09 06:38:18.744323
206.238.37.122,AVAILABILITY,origin.list,2023-06-09 06:38:19.120550
206.238.37.124,AVAILABILITY,origin.list,2023-06-09 06:38:20.058031
206.238.37.123,AVAILABILITY,origin.list,2023-06-09 06:38:25.917396
206.238.37.131,AVAILABILITY,origin.list,2023-06-09 06:38:26.109826
206.238.37.128,AVAILABILITY,origin.list,2023-06-09 06:38:29.962015
206.238.37.125,AVAILABILITY,origin.list,2023-06-09 06:38:30.406188
206.238.37.127,AVAILABILITY,origin.list,2023-06-09 06:38:31.308717
206.238.37.126,AVAILABILITY,origin.list,2023-06-09 06:38:37.173424
206.238.37.130,AVAILABILITY,origin.list,2023-06-09 06:38:37.317649
206.238.37.129,AVAILABILITY,origin.list,2023-06-09 06:38:41.234484
206.238.37.132,AVAILABILITY,origin.list,2023-06-09 06:38:41.671567
206.238.37.135,AVAILABILITY,origin.list,2023-06-09 06:38:42.552722
206.238.37.133,AVAILABILITY,origin.list,2023-06-09 06:38:48.452212
206.238.37.134,AVAILABILITY,origin.list,2023-06-09 06:38:48.517424
206.238.37.136,AVAILABILITY,origin.list,2023-06-09 06:38:52.498262
206.238.37.141,AVAILABILITY,origin.list,2023-06-09 06:44:24.090181
206.238.37.137,AVAILABILITY,origin.list,2023-06-09 06:44:27.669806
206.238.37.139,AVAILABILITY,origin.list,2023-06-09 06:44:27.741024
206.238.37.138,AVAILABILITY,origin.list,2023-06-09 06:44:27.793848
206.238.37.140,AVAILABILITY,origin.list,2023-06-09 06:44:27.826276
206.238.37.143,AVAILABILITY,origin.list,2023-06-09 06:44:35.054004
206.238.37.142,AVAILABILITY,origin.list,2023-06-09 06:44:35.281002
206.238.37.144,AVAILABILITY,origin.list,2023-06-09 06:44:38.932909
206.238.37.145,AVAILABILITY,origin.list,2023-06-09 06:44:39.039782
206.238.37.146,AVAILABILITY,origin.list,2023-06-09 06:44:39.046650
206.238.37.147,AVAILABILITY,origin.list,2023-06-09 06:44:46.233126
206.238.37.148,AVAILABILITY,origin.list,2023-06-09 06:44:46.457525
206.238.37.149,AVAILABILITY,origin.list,2023-06-09 06:44:50.201999
206.238.37.150,AVAILABILITY,origin.list,2023-06-09 06:44:50.270234
206.238.37.151,AVAILABILITY,origin.list,2023-06-09 06:44:50.322156
206.238.37.152,AVAILABILITY,origin.list,2023-06-09 06:44:57.502924
206.238.37.153,AVAILABILITY,origin.list,2023-06-09 06:44:57.729902
206.238.37.154,AVAILABILITY,origin.list,2023-06-09 06:45:01.426433
206.238.37.156,AVAILABILITY,origin.list,2023-06-09 06:45:01.459831
206.238.37.157,AVAILABILITY,origin.list,2023-06-09 06:45:01.506668
